symbol,ZSTAT,P
GDPD5,2.0314,0.021106
C17orf105,2.0311,0.021122
B4GALT3,2.0306,0.021148
ACO2,2.0306,0.02115
RBM18,2.0297,0.021195
ZNF609,2.0293,0.021213
FAM150B,2.0292,0.021218
RPL13,2.0256,0.021404
MAST1,2.0252,0.021425
LENG8,2.0252,0.021425
DEXI,2.0251,0.021427
ARHGEF10L,2.0248,0.021445
SLC4A8,2.0235,0.02151
TMEM233,2.0228,0.021547
FAM132B,2.0223,0.021571
FSTL3,2.021,0.021638
PGM1,2.0197,0.021708
FBXO38,2.0192,0.021733
ICE1,2.0191,0.021739
GZMH,2.0189,0.021751
UGT2A2,2.0182,0.021783
POLR2D,2.0159,0.021907
TMEM248,2.0158,0.021912
STAT5B,2.014,0.022007
MKLN1,2.0137,0.02202
SNX1,2.0136,0.022028
HSD11B1L,2.0126,0.022079
MXI1,2.0121,0.022102
RBBP5,2.0121,0.022104
C9orf91,2.0112,0.022151
FXYD7,2.0104,0.022195
UBASH3B,2.0093,0.022253
SNRNP48,2.0091,0.022263
TNRC6A,2.0088,0.022278
VPS37A,2.0086,0.022292
MYD88,2.0077,0.022336
UPB1,2.0062,0.022416
HMP19,2.0051,0.022478
MARCH11,2.0041,0.022532
ZNF410,2.0039,0.022539
OR2L5,2.0039,0.022542
RASA4B,2.0037,0.022553
FBN1,2.0032,0.022578
SERTAD4,2.0023,0.022625
IFT81,2.0016,0.022664
STK11IP,2.0015,0.022668
HOXC9,2.0015,0.022668
PPP2R5C,2.0014,0.022673
LAPTM4A,2.0011,0.022689
FXYD4,2.0008,0.02271
SERINC4,1.9999,0.022755
TROVE2,1.9986,0.022823
DCAF12,1.9974,0.02289
PPIP5K2,1.996,0.022966
LIF,1.995,0.023021
EIF4E,1.9938,0.023087
FAS,1.9931,0.023125
ACTA2,1.9926,0.023152
ITK,1.9925,0.023159
MPPED1,1.9908,0.023251
RNF126,1.9894,0.023327
ZFP36L1,1.9892,0.023338
DNM1L,1.988,0.023406
COMMD4,1.987,0.023464
SOST,1.9866,0.023481
TECR,1.9863,0.023503
PKD1L3,1.9862,0.023505
LUZP6,1.9859,0.023524
MTPN,1.9859,0.023524
CD320,1.9858,0.023528
NEIL1,1.9852,0.023563
KDM4B,1.9851,0.023567
NDUFA8,1.9851,0.023569
AMBRA1,1.985,0.023573
LIN28A,1.9846,0.023594
SCAND1,1.9846,0.023597
SRXN1,1.9844,0.023603
ZNF138,1.9828,0.023694
LGALS9,1.9817,0.023758
NIT1,1.9812,0.023783
PICALM,1.9808,0.023808
PRSS57,1.9808,0.023809
ZNF106,1.9807,0.023814
PMM2,1.9793,0.023889
RIN2,1.9761,0.024071
ATG13,1.976,0.024078
SP7,1.9742,0.024178
PARN,1.9738,0.024205
ATRIP,1.9706,0.024384
TFF2,1.9705,0.024393
LHX6,1.9693,0.02446
PDCD11,1.9691,0.024468
ARL9,1.969,0.024474
FBP2,1.9687,0.024494
FLT4,1.9673,0.024575
TMEM107,1.9649,0.024711
COMMD1,1.9644,0.02474
DSCC1,1.9636,0.024786
GNA14,1.9627,0.024839
UCHL5,1.9623,0.024865
CCDC134,1.9619,0.024885
IRX2,1.9603,0.024978
GIN1,1.9602,0.024985
DUSP3,1.96,0.024996
GRIFIN,1.9597,0.025014
ILDR1,1.958,0.025118
CHRM4,1.956,0.02523
CCDC51,1.9559,0.025239
WDR18,1.9555,0.025263
NMRK2,1.9517,0.025487
TMA7,1.9512,0.025515
LOC101927250,1.951,0.025526
TREX1,1.9504,0.025566
SYTL2,1.9494,0.025623
GOLGA6C,1.9491,0.02564
STMND1,1.9491,0.025643
SEC61A2,1.9484,0.025684
TAF5,1.9482,0.025698
NLRP10,1.9479,0.025713
UPK2,1.9464,0.025802
SFRP4,1.9462,0.025816
STK11,1.9459,0.025835
DDB2,1.9453,0.025869
LPCAT1,1.9444,0.025921
PLXNB1,1.9444,0.025925
FAM96A,1.944,0.025951
NOX3,1.9437,0.025965
SLITRK1,1.9431,0.026002
RPS10,1.9416,0.026092
RPL36,1.9415,0.0261
PRDX2,1.9401,0.026183
MRRF,1.9398,0.026201
FSTL4,1.9392,0.026239
GLI2,1.9389,0.02626
YARS2,1.9387,0.026266
SETD4,1.9375,0.02634
KERA,1.9371,0.026367
SPECC1L,1.9365,0.026401
OAZ2,1.9365,0.026405
CABP1,1.9363,0.026414
RPS28,1.9359,0.026442
MORN5,1.9355,0.026463
OCIAD1,1.9345,0.026523
CX3CR1,1.9342,0.026543
PPP2R1A,1.9339,0.026564
NDUFA7,1.9329,0.026622
CSDC2,1.9321,0.026671
