symbol,ZSTAT,P
LRRC32,1.7461,0.040394
DPH2,1.7458,0.040419
FBXW12,1.7436,0.040611
ZNF706,1.7434,0.040633
SEL1L2,1.7424,0.040715
PITX3,1.7422,0.040733
REEP2,1.7416,0.040793
MMP20,1.7414,0.040803
RNF6,1.7406,0.040877
NUP210,1.7401,0.040918
SALL2,1.7387,0.041045
ZNF595,1.7382,0.041091
LPCAT1,1.738,0.041103
ZAR1L,1.7379,0.041115
TNFAIP8L3,1.7362,0.041262
AS3MT,1.7353,0.041343
TONSL,1.7351,0.041362
S100A14,1.7343,0.041436
SLC5A6,1.7338,0.041479
CLNK,1.7336,0.041492
FBXL14,1.7332,0.041527
GJD2,1.7319,0.041645
PNPLA1,1.7315,0.041685
FNDC3B,1.731,0.041725
TCP11L2,1.7308,0.041739
PSEN1,1.7294,0.041869
ZDHHC5,1.729,0.041906
CCDC83,1.7286,0.041943
PHYHIPL,1.7282,0.04198
SLC37A4,1.7269,0.04209
TMEM200B,1.7263,0.042144
PRDM9,1.7258,0.042191
C9,1.7246,0.042297
AMT,1.7227,0.042474
SSFA2,1.7221,0.042528
SLCO1C1,1.722,0.042532
TMEM171,1.7219,0.042541
MMP1,1.7218,0.042557
CHTOP,1.7217,0.042559
CPSF1,1.7204,0.042684
OSBP,1.7196,0.04275
IQCA1L,1.7188,0.042826
CCDC129,1.718,0.042899
ASPSCR1,1.716,0.043085
OR10V1,1.7153,0.043148
RHOA,1.7149,0.043185
MYO1H,1.7141,0.043256
ELF1,1.714,0.043263
ACKR1,1.7135,0.043315
NPR3,1.7131,0.043343
WDPCP,1.7127,0.043385
FAM184B,1.7125,0.043401
LSS,1.7125,0.043402
SLC25A41,1.7117,0.043479
SLC26A1,1.7099,0.043638
SPINK5,1.7099,0.043645
TOMM40,1.7084,0.04378
FN1,1.7081,0.043812
HMGCS2,1.7077,0.043843
ZNF574,1.7069,0.043923
TFF1,1.7068,0.043925
NET1,1.7066,0.043948
KCTD14,1.7064,0.043969
ZNF571,1.7059,0.044015
ZNF638,1.7054,0.044062
ZDHHC16,1.7051,0.044087
PTK2B,1.7051,0.044092
B3GNT4,1.704,0.044186
SKA2,1.7027,0.04431
HELZ2,1.7025,0.044333
CHRNA3,1.7017,0.044407
GBP6,1.7,0.044562
CLK4,1.6994,0.044621
TOR3A,1.6982,0.044735
OR10Q1,1.6981,0.044744
CENPM,1.6973,0.044818
ZNF324,1.6973,0.044822
PLXNA4,1.6973,0.044822
DNAJC1,1.6973,0.044824
MUC20,1.6958,0.04496
NXNL1,1.6957,0.044969
XPNPEP1,1.6939,0.045144
AP1M2,1.6923,0.045296
TUBAL3,1.692,0.045327
DENND1C,1.6912,0.045402
SCAMP4,1.6908,0.045439
UQCR11,1.6905,0.045469
FANCF,1.6897,0.045544
TULP4,1.6894,0.045573
ZCCHC24,1.6889,0.045622
SCG2,1.6887,0.045636
S100A13,1.688,0.045708
OR13C4,1.6879,0.045711
SEPT11,1.6878,0.045726
RALYL,1.6876,0.045739
CYSTM1,1.687,0.045801
FOXN2,1.6865,0.045849
RPL7,1.6844,0.046048
TJP1,1.6837,0.046122
USP32,1.6836,0.046126
AQP2,1.6807,0.046409
SYTL3,1.6807,0.046411
SLC18A2,1.6805,0.04643
TMEM105,1.6787,0.046602
GDF5,1.6785,0.046627
ZNF436,1.6781,0.046665
TEKT3,1.6777,0.0467
KCNJ5,1.6777,0.046706
TUBA3C,1.6774,0.046728
GLS,1.6771,0.046765
ZNF335,1.675,0.046971
NICN1,1.6749,0.046976
TBC1D12,1.6741,0.047057
MSANTD4,1.6734,0.047122
ZSWIM8,1.6733,0.047136
TTC23L,1.6727,0.047196
LY6E,1.6727,0.047197
SNAPIN,1.6724,0.047218
RCOR3,1.6722,0.047242
TRAF2,1.6721,0.047256
COLCA2,1.6714,0.047322
RBP5,1.6712,0.047346
CENPC,1.6701,0.04745
C19orf44,1.6684,0.047619
HELLS,1.6683,0.047626
SNX22,1.6668,0.047774
STMN2,1.6668,0.047776
RAB30,1.6663,0.047823
ANKMY2,1.6662,0.047835
CLSTN3,1.6646,0.047999
KLHL24,1.6645,0.048001
SEPT7,1.6642,0.048037
CALR3,1.6641,0.048043
