symbol,ZSTAT,P
CSNK1G2,1.9484,0.025683
RAB7A,1.9483,0.025692
NFRKB,1.9474,0.025744
FN1,1.9471,0.025762
ZNF768,1.9465,0.025794
HCK,1.9457,0.025848
PTBP2,1.9441,0.02594
CMSS1,1.9419,0.026075
FAM110A,1.9393,0.026232
ZNF730,1.9391,0.026245
HSPBP1,1.938,0.02631
RTP3,1.9379,0.026315
CSNK1A1,1.9339,0.026564
ZDHHC20,1.9337,0.026572
ZNF747,1.9336,0.026581
C19orf57,1.9332,0.026606
CC2D1A,1.9332,0.026606
PLCE1,1.9317,0.026697
RECQL,1.9311,0.026733
SURF4,1.9284,0.026903
TGFBR1,1.9279,0.026933
NPAS1,1.9279,0.026935
PHLDB3,1.9263,0.027032
CTSV,1.9252,0.027104
PKD2L2,1.9242,0.027163
RPL27A,1.9241,0.02717
EPM2A,1.9233,0.027218
IGSF10,1.9228,0.02725
TCP11L1,1.9222,0.027291
ASPH,1.922,0.027301
SLC30A1,1.9212,0.027352
GLT8D2,1.9212,0.027355
SLIT1,1.92,0.027428
STKLD1,1.9195,0.027459
ZNF655,1.919,0.027492
STOML1,1.9189,0.027496
ARHGAP35,1.9176,0.02758
STOX1,1.9165,0.027649
C4orf50,1.9133,0.027855
FOXK2,1.9132,0.027861
GCLC,1.9119,0.027942
CADM4,1.9116,0.027962
PCDH10,1.9077,0.028216
GGH,1.9065,0.028294
THRA,1.9063,0.028307
PRR29,1.9062,0.028311
PML,1.9062,0.028315
ANXA1,1.905,0.02839
METTL21A,1.9043,0.028437
NPEPL1,1.9013,0.028631
DNAAF2,1.9009,0.028659
RNF180,1.9007,0.028668
NRG1,1.8997,0.028739
CAPG,1.8996,0.028744
ECM1,1.8987,0.028803
EFNB3,1.8986,0.028805
POFUT2,1.8977,0.028865
PTBP1,1.8966,0.028943
TRB,1.8965,0.028945
OR51S1,1.8951,0.029036
C19orf47,1.8938,0.029124
UBE2E2,1.8937,0.029133
H3F3A,1.8928,0.02919
TMEM50A,1.8927,0.029196
TMEM74,1.8909,0.029322
CLK2,1.8876,0.02954
PAX6,1.8862,0.029633
FGF19,1.8857,0.029668
UQCR10,1.8841,0.029776
ZNRF2,1.8837,0.029801
EIF3A,1.8811,0.029978
TFF1,1.8808,0.029997
ANGEL2,1.8803,0.030035
LOH12CR1,1.8797,0.030072
FBXO30,1.8795,0.030086
GNAS,1.876,0.030331
JUNB,1.8756,0.030352
CCDC178,1.8756,0.030356
PRPF40A,1.8753,0.030379
DEFB115,1.8742,0.030451
PF4V1,1.8717,0.030623
STARD13,1.8715,0.030636
TARS2,1.8707,0.030692
NANOS3,1.8697,0.030766
C4orf46,1.8685,0.030845
C9orf64,1.8679,0.030891
CENPV,1.8678,0.030896
ACOX2,1.8677,0.030902
ZNF432,1.8672,0.030934
SPP1,1.8666,0.030982
TRIM66,1.8657,0.031042
EHHADH,1.8655,0.031055
UTS2,1.8651,0.031081
LOC648044,1.8618,0.031314
IQCK,1.8592,0.031501
LOC100144595,1.8583,0.031562
GRIN2B,1.8578,0.031596
SUCLA2,1.8577,0.031609
LOC400499,1.8576,0.031612
ADPGK,1.8573,0.031634
CD34,1.8567,0.031675
C16orf95,1.8563,0.031708
TNS3,1.8562,0.031711
STX16,1.8561,0.031721
GBA,1.8557,0.031749
PXDC1,1.8555,0.03176
GLUD1,1.8549,0.031805
TPM1,1.8546,0.031824
RETSAT,1.8544,0.031839
TXNDC11,1.8538,0.031883
PLD3,1.8536,0.0319
ARL4C,1.8534,0.031914
GMPR,1.8532,0.031925
CFAP69,1.8532,0.031929
KRT24,1.8506,0.032112
PRR13,1.8473,0.032354
MLLT1,1.8462,0.032434
BRK1,1.8454,0.032493
MRPL23,1.8453,0.032495
STT3A,1.845,0.032516
ACSL6,1.8439,0.032601
TCF3,1.8437,0.032613
NR3C1,1.8435,0.032627
VPS72,1.8425,0.032699
FANCD2OS,1.8424,0.032709
ZMAT2,1.8412,0.032799
APOL3,1.8406,0.032837
UBE2E2-AS1,1.8397,0.032907
FAIM2,1.8383,0.033008
CCNB1,1.8383,0.03301
LOC285556,1.838,0.03303
PI15,1.8374,0.033078
FAM189B,1.8372,0.033092
TSC22D1,1.8369,0.033111
HARS2,1.8364,0.033149
KIAA2013,1.8363,0.03316
GPR176,1.8355,0.033219
DLGAP3,1.8349,0.033261
MAGOH,1.8346,0.03328
PRRT3,1.8344,0.033299
BTLA,1.8334,0.033373
DND1,1.8327,0.033423
NSG1,1.8324,0.033446
SNUPN,1.8323,0.033457
HINT2,1.8314,0.033522
PAM,1.8312,0.033537
EIF6,1.831,0.033552
