symbol,ZSTAT,P
TMEM30B,1.9388,0.026265
COX7C,1.9388,0.026266
MUSTN1,1.9374,0.026347
SEMA6D,1.9372,0.026358
C14orf169,1.9333,0.026599
KCNMB3,1.9317,0.026697
UGT2A1,1.9312,0.026731
RGPD1,1.9308,0.026753
GPR87,1.9304,0.026777
NBPF6,1.9296,0.026827
OR2T12,1.929,0.026866
ITIH4,1.929,0.026868
TMX3,1.9288,0.026878
PDCL2,1.9279,0.026932
C10orf2,1.9272,0.026977
TSEN15,1.9266,0.027016
SLC2A4RG,1.9257,0.027068
LRRIQ4,1.9251,0.027108
C7orf77,1.925,0.027115
ERGIC3,1.9225,0.027273
LOC732265,1.922,0.0273
STAB2,1.922,0.027305
SCAPER,1.9203,0.027408
ABCA3,1.9193,0.027475
PSD,1.9189,0.027497
NAT1,1.9189,0.027498
LAMB3,1.9187,0.027509
RCN2,1.9185,0.027525
RDH12,1.9177,0.027577
PTDSS2,1.9177,0.027577
VPS9D1,1.9173,0.027599
RBFOX2,1.9172,0.027608
SHISA8,1.9167,0.027641
MRPL57,1.9162,0.027668
PBOV1,1.9158,0.027696
SLC12A9,1.9156,0.02771
NDUFS6,1.9155,0.027717
SLC37A3,1.9151,0.027739
LSP1,1.9123,0.02792
CCDC125,1.9119,0.027945
CST8,1.91,0.028066
NKX2-5,1.91,0.028066
SGMS2,1.9098,0.02808
TTLL11,1.9095,0.028101
DDX24,1.9092,0.028119
OTUB2,1.9091,0.028124
MMP13,1.9091,0.028125
PIGH,1.9088,0.028143
PMCH,1.9085,0.028163
ZSWIM1,1.9082,0.028184
ZNF688,1.9065,0.028294
MTL5,1.9063,0.028308
C12orf71,1.9062,0.028315
RDH11,1.9054,0.028366
CKS1B,1.905,0.028391
RMND5B,1.9034,0.028495
GJB2,1.9031,0.028516
SYPL1,1.9023,0.028569
CFHR4,1.8999,0.028721
ARHGDIB,1.8998,0.028728
GPR75,1.8994,0.028756
PAX4,1.8991,0.028773
GRK4,1.8978,0.028862
SKA3,1.8976,0.028876
PRIMA1,1.8974,0.028889
CFHR3,1.8971,0.028908
NHP2,1.8959,0.028987
OR2T33,1.8942,0.029097
BNIP1,1.8938,0.029125
SUSD1,1.8918,0.029257
FUK,1.8909,0.029322
NPFF,1.8903,0.029359
CST11,1.8889,0.029453
WDR70,1.888,0.029513
LRRTM3,1.8879,0.029518
GUCA1C,1.8877,0.029534
NAT2,1.8861,0.02964
ARHGEF26,1.886,0.029647
