symbol,ZSTAT,P
FAM32A,1.8379,0.033036
DCANP1,1.8379,0.033036
HGSNAT,1.8362,0.033163
PMPCB,1.8359,0.033183
IFIT1B,1.8355,0.033219
BTLA,1.8352,0.033237
IL23R,1.8346,0.033283
RTP1,1.8343,0.033307
IL6ST,1.8324,0.033446
NLRC3,1.8323,0.033454
TMCO3,1.8315,0.033513
RFX5,1.8306,0.033577
SLC30A1,1.8296,0.033655
TNFRSF12A,1.8291,0.033691
SEC14L3,1.8289,0.033706
KIF3A,1.8285,0.033739
PRR18,1.8285,0.03374
CHST3,1.8274,0.033817
IL21R,1.826,0.033925
MGEA5,1.8246,0.034033
GUCY2C,1.8239,0.034083
PPID,1.8239,0.034085
MFN2,1.8237,0.034101
ZNF394,1.8231,0.034147
TRAK1,1.8228,0.034169
SLC16A7,1.8223,0.034202
LEMD3,1.822,0.03423
FBN1,1.8218,0.034245
ACE,1.8212,0.03429
HARS,1.8207,0.034325
GOLGA6D,1.8205,0.03434
ABCG2,1.8204,0.034352
ST6GALNAC6,1.8184,0.034501
LPCAT1,1.8184,0.034503
SLC38A8,1.8181,0.034526
DEFB118,1.8179,0.034538
HDAC1,1.8179,0.03454
SGK2,1.8162,0.03467
COG7,1.8156,0.034716
ARHGAP35,1.8151,0.034757
SLC31A2,1.8148,0.034774
APBB3,1.8146,0.03479
SPPL3,1.8133,0.034889
CASKIN2,1.8133,0.034893
COQ9,1.8122,0.034975
TACO1,1.812,0.034993
TTC39C,1.8118,0.03501
BANF2,1.8115,0.035035
PTP4A2,1.8109,0.03508
RSL24D1,1.8103,0.035121
RAB19,1.8102,0.035134
TRIP11,1.8096,0.035178
PTGIS,1.8082,0.035287
CDC123,1.8069,0.035389
KHNYN,1.8069,0.035391
PRPF3,1.8066,0.035416
DEDD,1.8053,0.035512
MEP1B,1.8048,0.035553
DCUN1D2,1.8046,0.035567
TTN,1.8025,0.035734
POLG,1.8013,0.035827
DEFB121,1.8013,0.035827
SYT13,1.8005,0.035892
LOC101928841,1.8004,0.035897
SLC25A36,1.8002,0.035917
SPACA4,1.8001,0.035925
FABP4,1.7998,0.035947
KRT38,1.7983,0.036068
UNC5A,1.7978,0.036108
GTF2I,1.7977,0.036115
ACSL6,1.7971,0.036159
CCDC110,1.7955,0.036284
DSCR3,1.7947,0.036351
TNKS2,1.7942,0.036391
SLC7A2,1.7941,0.036395
PDLIM3,1.7933,0.036462
KLHL3,1.7928,0.036502
BDP1,1.7901,0.036722
SAA1,1.7892,0.036788
SHB,1.7877,0.036913
RIPK1,1.7871,0.036957
CCDC59,1.7866,0.037
WWC2,1.786,0.03705
NDUFA2,1.785,0.037127
TCTEX1D4,1.7846,0.037162
C17orf67,1.7846,0.037166
AKR7A3,1.7845,0.037174
HAUS2,1.7839,0.037221
RPS6KA5,1.7838,0.037229
ZNF300,1.7832,0.037274
KRT37,1.7825,0.037337
ALG6,1.7822,0.03736
WRAP73,1.7821,0.037365
NCAPG2,1.782,0.037376
